OrganizationName,EducationBoard,ContactNo,Email,Website,StreetAddress,District,Zone,ContactAddress,CollegeAndUniCourses,Link,Funding,FacebookLink,GooglePlusLink,TwitterLink,YoutubeLink,OtherLinks
National College of Accountancy (NCA),ACCA ,977-01-4479474/4478511,admin@nca.edu.np,http://www.nca.edu.np/,Battisputali       ,Kathmandu,Bagmati,Battisputali  Kathmandu   Bagmati,ACCA/FIA Program,http://edusanjal.com/college/national-college-accountancy,Private,,,,,
GoldenGate International College,Tribhuvan University,"977-1-4477082, 4495165",info@goldengate.edu.np,,"Old Baneshwor, Battisputali       ",Kathmandu,Bagmati," Golden Gate International College Wisdom Tower, Trikuti Colony, Battisputali Old Baneshwor, Kathmandu","Bachelor of Hotel Management (BHM) ; 84;,M.Sc in Physics ; 60;,M.Sc in Microbiology ; 40;,Bachelor of Science (B.Sc) in Microbiology,Bachelor of Science (B.Sc) in Physics,B.Tech. Food Technology,M.Sc in Environmental Science,Master of Business Studies (MBS),Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Bachelor of Science (B.Sc) in Environmental Science,Master of Arts (MA) in English,Master of Arts (MA) in Economics",http://edusanjal.com/college/golden-gate-international-college,Private,,,,,
College of Applied Business (CAB),Tribhuvan University,"977-1-4462736, 9860041587",info@cab.edu.np,http://www.cab.edu.np/,"Gangahity, Dhobikhola       ",Kathmandu,Bagmati,"College of Applied Business Gangahity, Dhobikhola","Bachelor of Business Administration (BBA) ; 64;,Bachelor of Information Management (BIM) ; 64;,B.Sc. Computer Science And Information Technology (B.SC. CSIT),Bachelor of Business Studies (BBS)",http://edusanjal.com/college/college-applied-business,Private,https://www.facebook.com/collegeofappliedbusiness/,,,,
Einstein Academy Higher Secondary School and College,Tribhuvan University,"01-5170418,5171139",krrai2015@gmail.com,http://www.einsteinacademy.edu.np/,Mahalaxmi Chowk       ,Lalitpur,Bagmati," Einstein Academy HSS and College Mahalaxmisthan Chowk,Ring Road, Lalitpur-14 G.P.O. box:8975, EPC 719",Bachelor of Business Studies (BBS),http://edusanjal.com/college/einstein-academy-higher-secondary-school-and-college,Private,https://www.facebook.com/einstein.academy,,,,
Global College of Management,Tribhuvan University,"977-1-4488312, 4475254",info@proed.edu.np,http://globalcollege.edu.np/gcm/,Mid-Baneshwor       ,Kathmandu,Bagmati," Global College of Management (Under Pro-Ed. Limited) Mid- Baneshwor, Kathmandu PO Box:24855","Bachelor of Business Studies (BBS),Master of Business Studies (MBS)",http://edusanjal.com/college/global-college-management,Private,,,,,
Tribhuvan University School of Management,Tribhuvan University,977-1-4332719,info@somtu.edu.np,http://somtu.edu.np/,Kirtipur       ,Kathmandu,Bagmati,Kirtipur  Kathmandu   Bagmati,"MBA in Global Leadership and Management ; 20;,Master of Business Administration (MBA) ; 35; ; 385000;,Master of Finance and Control (MFC) ; 35; ; 360000;,Master of Business Administration in Information Technology (MBA IT) ; 460000;",http://edusanjal.com/college/tribhuvan-university-school-management,Public,,,,,
Kathmandu University School of Arts,Kathmandu University,"977-01-5251294, 977-015251306",kusoa@ku.edu.np,http://www.ku.edu.np/arts/,Hattiban       ,Lalitpur,Bagmati,Hattiban  Lalitpur   Bagmati,"Masters in Landscapes Management and Heritage Studies,Masters in Development Studies,Bachelor in Community Development,Bachelor of Arts in Buddhist Studies with Himalayan Language,Master of Arts (MA) in Buddhist Studies,Bachelor in Economics,Bachelor in Media Studies,Master in Human and Natural Resource Studies,Bachelor of Fine Arts (BFA),Bachelor in Music / Enthnomusicology,Masters in Ethnomusicology",http://edusanjal.com/college/kathmandu-university-school-arts,Public,,,,,
Tri-Chandra Multiple Campus,Tribhuvan University,01-4225743,,http://www.tutrichandracampus.edu.np/,Ghantaghar       ,Kathmandu,Bagmati," Tri-Chandra Campus Ghantaghar, Kathmandu, Nepal","M.Sc in Microbiology,Bachelor of Science (B.Sc) in Microbiology,Master of Science (M.Sc) Chemistry,Bachelor of Science (B.Sc) in Environmental Science,Bachelor of Science (B.Sc) in Physics,Bachelor of Science (B.Sc.) in Geology,Post Graduate Diploma in Counseling Psychology,MA Population Studies,MA Nepali,MA Sociology and Anthropology,Master of Arts (MA) in Rural Development",http://edusanjal.com/college/tri-chandra-multiple-campus,Public,,,,,
Padmakanya Campus,Tribhuvan University,"977-4224149, 4221712",info@pkcampus.edu.np,http://pkcampus.edu.np/,Bagbazar       ,Kathmandu,Bagmati," Padma Kanya Campus Bagbazar, Kathmandu","Bachelor of Business Administration (BBA) ; 64;,Post Graduate Diploma in Women Studies,Bachelor of Business Studies (BBS),Bachelor of Arts-BA,Master of Arts (MA) in Rural Development,MA Population Studies,Master of Arts (MA) in English,Master of Arts (MA) in Economics,MA Sociology and Anthropology,Master of Business Studies (MBS),MA Nepali,MA Political Science,Master in Psychology",http://edusanjal.com/college/padma-kanya-campus,Public,,,,,
MidWestern University School of Science and Technology,Mid-Western University,"083-521315, 9848085540",,," , Birendranagar        ",Surkhet,Bheri,"Surkhet, Birendranagar   Surkhet   Bheri","Bachelor of Science (B.Sc) in Botany,Bachelor of Science (B.Sc) in Statistics,Bachelor of Science (B.Sc) in Zoology,Bachelor of Science in Mathematics",http://edusanjal.com/college/midwestern-university-school-of-science-technology,Public,,,,,
CG Institute of Management,Limkokwing University of Creative Technology ,"977-1-4107101, 4107114",info@cgim.edu.np,http://cgim.edu.np/,"Minbhawan, Anup Marg       ",Kathmandu,Bagmati,"Minbhawan, Anup Marg  Kathmandu   Bagmati","Bachelor of Business Administration (BBA) ; 773800;,Masters of Business Administration (MBA) ; 30; ; 542400;",http://edusanjal.com/college/cg-institute-management,Private,,,,,
Prithvi Narayan Multiple Campus,Tribhuvan University,"977-61-526837, 520142, 520143, 531944",,http://pncampus.edu.np/ns/,"Bagar, Pokhara       ",Kaski,Gandaki," Prithvi Narayan Campus Bagar, Pokhara","Bachelor of Business Administration (BBA) ; 64;,M.Sc in Physics ; 80;,MA Political Science,Bachelor of Laws,MA Nepali,MA Sociology and Anthropology,One year Bachelor of Education (B.Ed),MA Population Studies,Bachelor of Education (B.Ed),Master of Arts (MA) in English,Master of Arts (MA) in Economics,Bachelor of Arts Bachelor of Laws (BALLB),Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Master of Business Studies (MBS),Master of Arts (MA) in History,Bachelor of Science (B.Sc) in Microbiology,MA Geography,Master of Science (M.Sc) in Mathematics,M.Ed English Language Education,M.Ed Nepali Language Education,M.Ed Education Planning and Management,M.Ed Curriculum and Evaluation,Master of Education (M.Ed) in Economics Education,Master of Education (M.Ed) in Health Education,Masters of Education (M.Ed) in Mathematics Education",http://edusanjal.com/college/prithvi-narayan-multiple-campus,Public,,,,,
Mid-western University School of Management,Mid-Western University,977-83525488,tms@mwu.edu.np,,        ,Surkhet,Bheri,Surkhet  Surkhet   Bheri,"Bachelor of Business Administration (BBA),Bachelor of Business Studies (BBS),Master of Business Studies (MBS),Master of Business Administration (MBA)",http://edusanjal.com/college/mid-western-university-school-of-management,Public,,,,,
MidWestern University School of Humanities and Social Sciences,Mid-Western University,"083-520309, 083-520228",,," , Birendranagar        ",Surkhet,Bheri,"Surkhet, Birendranagar   Surkhet   Bheri","BA - Development Economics,MA - Development Economics,BA - Social Work,BA - International Relations,MA - International Relations,BA - Conflict and Peace Studies,MA - International Cooperation and Development",http://edusanjal.com/college/midwestern-university-school-of-humanities-social-sciences,Public,,,,,
Premier College,Tribhuvan University,"977-1-4467468, 4469736",,http://www.premiereducation.org.np/,Baneshwor       ,Kathmandu,Bagmati," Premier College New Baneshwor Kathmandu (North of BICC-way to Old Baneshwor), Devkota Marga, Kathmandu","Bachelor of Business Studies (BBS),Bachelor of Social Works (BSW),Master of Business Studies (MBS),CAP - I,CAP - II,CAP - III",http://edusanjal.com/college/premier-college,Private,,,,,
Excel International College,Pokhara University,"977-1- 4485109, 4462170",info@excelcollege.edu.np,http://www.excelcollege.edu.np/,"Lakhechaur Marg, New Baneshwor       ",Kathmandu,Bagmati,"Lakhechaur Marg, New Baneshwor  Kathmandu   Bagmati","Bachelor of Business Administration (BBA) ; 96;,Bachelor of Business Administration in Banking and Insurance (BBA-BI)",http://edusanjal.com/college/excel-international-college,Private,,,,,
National Open College (NOC),Pokhara University,977-1-5548098/ 5520326/ 016224665 /016222222,noc.sanepa@gmail.com,http://www.noc.edu.np/,Sanepa (Near Sajha Petrol Pump)       ,Lalitpur,Bagmati,Sanepa (Near Sajha Petrol Pump)  Lalitpur   Bagmati,"Bachelor of Business Administration (BBA) ; 48;,Bachelor of Health Care Management (BHCM) ; 48;,Bachelor of Public Health (BPH) ; 40;,Master of Healthcare Management (MHCM),Post Graduate Diploma in Healthcare Management (PGDHCM)",http://edusanjal.com/college/national-open-college,Private,,,,,
Camad College,Pokhara University,01-4650643/4375100,camadcollege7@gmail.com,http://www.camadcollege.edu.np/,Sukedhara       ,Kathmandu,Bagmati,Sukedhara  Kathmandu   Bagmati,"Bachelor of Business Administration (BBA) ; 96;,Bachelor of Arts in Development Studies ; 48;",http://edusanjal.com/college/camad-college,Private,,,,,
