OrganizationName,EducationBoard,ContactNo,Email,Website,StreetAddress,District,Zone,ContactAddress,Courses,HighSchoolCourses,CollegeAndUniCourses,Link,Funding,FacebookLink,GooglePlusLink,TwitterLink,YoutubeLink,OtherLinks
Princeton Higher Secondary School,HSEB,"977-1-4107564, 4107604",info@princeton.edu.np,http://www.princeton.edu.np/,Shantinagar       ,Kathmandu,Bagmati," Princeton Higher Secondary School Shantinagar, New Baneshwar, Kathmandu-34","Ten Plus Two Humanities,Ten Plus Two Management,Ten Plus Two Science","Ten Plus Two Humanities,Ten Plus Two Management,Ten Plus Two Science",,http://edusanjal.com/college/princeton-higher-secondary-school,Private,,,,,
Plan Academy Higher Secondary School,HSEB,"977-1-5528419, 5537695,",,,"Kumaripati,         ",Lalitpur,Bagmati,"Proposed Name: Plan Academy Higher Secondary School Kumaripati, Lalitpur","Ten Plus Two Humanities,Ten Plus Two Management","Ten Plus Two Humanities,Ten Plus Two Management",,http://edusanjal.com/college/plan-academy-higher-secondary-school,Private,,,,,
National College of Accountancy (NCA),ACCA ,977-01-4479474/4478511,admin@nca.edu.np,http://www.nca.edu.np/,Battisputali       ,Kathmandu,Bagmati,Battisputali  Kathmandu   Bagmati,ACCA/FIA Program,,ACCA/FIA Program,http://edusanjal.com/college/national-college-accountancy,Private,,,,,
Uniglobe Higher Secondary School,HSEB,977-1-4220722|4251409|4221875,info@uniglobecollege.edu.np,http://uniglobecollege.edu.np/,"Kamaladi, Ganeshthan       ",Kathmandu,Bagmati,"Kamaladi, Ganeshthan  Kathmandu   Bagmati","Ten Plus Two Science,Ten Plus Two Management","Ten Plus Two Science,Ten Plus Two Management",,http://edusanjal.com/college/uniglobe-higher-secondary-school,Private,http://www.facebook.com/UniglobeHSSCollege,,https://twitter.com/UniglobeHSS/,https://www.youtube.com/c/uniglobehsscollege,
GoldenGate International College,"HSEB,Tribhuvan University","977-1-4477082, 4495165",info@goldengate.edu.np,,"Old Baneshwor, Battisputali       ",Kathmandu,Bagmati," Golden Gate International College Wisdom Tower, Trikuti Colony, Battisputali Old Baneshwor, Kathmandu","Bachelor of Hotel Management (BHM) ; 84;,M.Sc in Physics ; 60;,M.Sc in Microbiology ; 40;,Bachelor of Science (B.Sc) in Microbiology,Bachelor of Science (B.Sc) in Physics,B.Tech. Food Technology,M.Sc in Environmental Science,Master of Business Studies (MBS),Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Bachelor of Science (B.Sc) in Environmental Science,Master of Arts (MA) in English,Master of Arts (MA) in Economics,Ten Plus Two Humanities ; 40;,Ten Plus Two Science ; 800;,Ten Plus Two Management ; 500;","Ten Plus Two Humanities ; 40;,Ten Plus Two Science ; 800;,Ten Plus Two Management ; 500;","Bachelor of Hotel Management (BHM) ; 84;,M.Sc in Physics ; 60;,M.Sc in Microbiology ; 40;,Bachelor of Science (B.Sc) in Microbiology,Bachelor of Science (B.Sc) in Physics,B.Tech. Food Technology,M.Sc in Environmental Science,Master of Business Studies (MBS),Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Bachelor of Science (B.Sc) in Environmental Science,Master of Arts (MA) in English,Master of Arts (MA) in Economics",http://edusanjal.com/college/golden-gate-international-college,Private,,,,,
College of Applied Business (CAB),"HSEB,Tribhuvan University","977-1-4462736, 9860041587",info@cab.edu.np,http://www.cab.edu.np/,"Gangahity, Dhobikhola       ",Kathmandu,Bagmati,"College of Applied Business Gangahity, Dhobikhola","Bachelor of Business Administration (BBA) ; 64;,Bachelor of Information Management (BIM) ; 64;,B.Sc. Computer Science And Information Technology (B.SC. CSIT),Bachelor of Business Studies (BBS),Ten Plus Two Management",Ten Plus Two Management,"Bachelor of Business Administration (BBA) ; 64;,Bachelor of Information Management (BIM) ; 64;,B.Sc. Computer Science And Information Technology (B.SC. CSIT),Bachelor of Business Studies (BBS)",http://edusanjal.com/college/college-applied-business,Private,https://www.facebook.com/collegeofappliedbusiness/,,,,
KMC National Higher Secondary School,HSEB,"977-01-5201331,5201334",,http://www.nationalcampus.edu.np/,Balkumari       ,Lalitpur,Bagmati,Balkumari  Lalitpur   Bagmati,"Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities","Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities",,http://edusanjal.com/college/national-higher-secondary-school,Private,,,,,
Kathmandu Model Higher Secondary School,HSEB,"977-1-4242121,4242015",info@ktmmodelcollege.edu.np,http://www.ktmmodelcollege.edu.np/,Bagbazar       ,Kathmandu,Bagmati,Bagbazar  Kathmandu   Bagmati,"Ten Plus Two Science ; 850; ; 92000;,Ten Plus Two Management ; 350; ; 66400;","Ten Plus Two Science ; 850; ; 92000;,Ten Plus Two Management ; 350; ; 66400;",,http://edusanjal.com/college/kathmandu-model-higher-secondary-school,Private,,,,,
Einstein Academy Higher Secondary School and College,"HSEB,Tribhuvan University","01-5170418,5171139",krrai2015@gmail.com,http://www.einsteinacademy.edu.np/,Mahalaxmi Chowk       ,Lalitpur,Bagmati," Einstein Academy HSS and College Mahalaxmisthan Chowk,Ring Road, Lalitpur-14 G.P.O. box:8975, EPC 719","Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities,Bachelor of Business Studies (BBS)","Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities",Bachelor of Business Studies (BBS),http://edusanjal.com/college/einstein-academy-higher-secondary-school-and-college,Private,https://www.facebook.com/einstein.academy,,,,
Global College of Management,"HSEB,Tribhuvan University","977-1-4488312, 4475254",info@proed.edu.np,http://globalcollege.edu.np/gcm/,Mid-Baneshwor       ,Kathmandu,Bagmati," Global College of Management (Under Pro-Ed. Limited) Mid- Baneshwor, Kathmandu PO Box:24855","Bachelor of Business Studies (BBS),Master of Business Studies (MBS),Ten Plus Two Management ; 600;",Ten Plus Two Management ; 600;,"Bachelor of Business Studies (BBS),Master of Business Studies (MBS)",http://edusanjal.com/college/global-college-management,Private,,,,,
