OrganizationName,EducationBoard,ContactNo,Email,Website,StreetAddress,District,Zone,ContactAddress,CollegeAndUniCourses,Link,Funding,FacebookLink,GooglePlusLink,TwitterLink,YoutubeLink,OtherLinks
Einstein Academy Higher Secondary School and College,Tribhuvan University,"01-5170418,5171139",krrai2015@gmail.com,http://www.einsteinacademy.edu.np/,Mahalaxmi Chowk       ,Lalitpur,Bagmati," Einstein Academy HSS and College Mahalaxmisthan Chowk,Ring Road, Lalitpur-14 G.P.O. box:8975, EPC 719",Bachelor of Business Studies (BBS),http://edusanjal.com/college/einstein-academy-higher-secondary-school-and-college,Private,https://www.facebook.com/einstein.academy,,,,
GoldenGate International College,Tribhuvan University,"977-1-4477082, 4495165",info@goldengate.edu.np,,"Old Baneshwor, Battisputali       ",Kathmandu,Bagmati," Golden Gate International College Wisdom Tower, Trikuti Colony, Battisputali Old Baneshwor, Kathmandu","Bachelor of Hotel Management (BHM) ; 84;,M.Sc in Physics ; 60;,M.Sc in Microbiology ; 40;,Bachelor of Science (B.Sc) in Microbiology,Bachelor of Science (B.Sc) in Physics,B.Tech. Food Technology,M.Sc in Environmental Science,Master of Business Studies (MBS),Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Bachelor of Science (B.Sc) in Environmental Science,Master of Arts (MA) in English,Master of Arts (MA) in Economics",http://edusanjal.com/college/golden-gate-international-college,Private,,,,,
College of Applied Business (CAB),Tribhuvan University,"977-1-4462736, 9860041587",info@cab.edu.np,http://www.cab.edu.np/,"Gangahity, Dhobikhola       ",Kathmandu,Bagmati,"College of Applied Business Gangahity, Dhobikhola","Bachelor of Business Administration (BBA) ; 64;,Bachelor of Information Management (BIM) ; 64;,B.Sc. Computer Science And Information Technology (B.SC. CSIT),Bachelor of Business Studies (BBS)",http://edusanjal.com/college/college-applied-business,Private,https://www.facebook.com/collegeofappliedbusiness/,,,,
Global College of Management,Tribhuvan University,"977-1-4488312, 4475254",info@proed.edu.np,http://globalcollege.edu.np/gcm/,Mid-Baneshwor       ,Kathmandu,Bagmati," Global College of Management (Under Pro-Ed. Limited) Mid- Baneshwor, Kathmandu PO Box:24855","Bachelor of Business Studies (BBS),Master of Business Studies (MBS)",http://edusanjal.com/college/global-college-management,Private,,,,,
National College of Accountancy (NCA),ACCA ,977-01-4479474/4478511,admin@nca.edu.np,http://www.nca.edu.np/,Battisputali       ,Kathmandu,Bagmati,Battisputali  Kathmandu   Bagmati,ACCA/FIA Program,http://edusanjal.com/college/national-college-accountancy,Private,,,,,
CG Institute of Management,Limkokwing University of Creative Technology ,"977-1-4107101, 4107114",info@cgim.edu.np,http://cgim.edu.np/,"Minbhawan, Anup Marg       ",Kathmandu,Bagmati,"Minbhawan, Anup Marg  Kathmandu   Bagmati","Bachelor of Business Administration (BBA) ; 773800;,Masters of Business Administration (MBA) ; 30; ; 542400;",http://edusanjal.com/college/cg-institute-management,Private,,,,,
Platinum Management College,Pokhara University,"977-1-4418046, 4420928, 4442717",info@platinumcollege.edu.np,http://platinumcollege.edu.np/,"Kalikasthan, Dillibazar       ",Kathmandu,Bagmati," Platinum Management College Kalikasthan, Dillibazar, Kathmandu",Bachelor of Business Administration (BBA) ; 96;,http://edusanjal.com/college/platinum-management-college,Private,,,,,
Ritz Hospitality Management College,Pokhara University,"977-1-5538188, 5539060",info@ritzhospitality.edu.np,http://www.ritzhospitality.edu.np/,Balkumari       ,Lalitpur,Bagmati," Ritz Hospitality Management College Balkumari - 9, Lalitpur, Nepal","Bachelor of Business Administration (BBA) ; 48;,Bachelor of Hotel Management (BHM) ; 96;",http://edusanjal.com/college/ritz-hospitality-management-college,Private,,,,,
Quest International College,Pokhara University,"977-1-5547669, 5521950",info@quest.edu.np,http://quest.edu.np/,Gwarko       ,Lalitpur,Bagmati,Gwarko  Lalitpur   Bagmati,"Bachelor of Business Administration (BBA) ; 96;,Bachelor of Hotel Management (BHM) ; 48;",http://edusanjal.com/college/quest-international-college,Private,,,,,
Sahid Ramnath Dahal Multiple Campus,"Pokhara University,Tribhuvan University",01-4360969/ 4361486,collegemrm@yahoo.com,http://www.mrmcampus.edu.np/,Vanasthali Chowk       ,Kathmandu,Bagmati,Vanasthali Chowk  Kathmandu   Bagmati,"Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed)",http://edusanjal.com/college/martyr-ramnath-multiple-campus,Private,,,,,
