OrganizationName,EducationBoard,ContactNo,Email,Website,StreetAddress,District,Zone,ContactAddress,HighSchoolCourses,Link,Funding,FacebookLink,GooglePlusLink,TwitterLink,YoutubeLink,OtherLinks
Kathmandu Model Higher Secondary School,HSEB,"977-1-4242121,4242015",info@ktmmodelcollege.edu.np,http://www.ktmmodelcollege.edu.np/,Bagbazar       ,Kathmandu,Bagmati,Bagbazar  Kathmandu   Bagmati,"Ten Plus Two Science ; 850; ; 92000;,Ten Plus Two Management ; 350; ; 66400;",http://edusanjal.com/college/kathmandu-model-higher-secondary-school,Private,,,,,
Einstein Academy Higher Secondary School and College,HSEB,"01-5170418,5171139",krrai2015@gmail.com,http://www.einsteinacademy.edu.np/,Mahalaxmi Chowk       ,Lalitpur,Bagmati," Einstein Academy HSS and College Mahalaxmisthan Chowk,Ring Road, Lalitpur-14 G.P.O. box:8975, EPC 719","Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities",http://edusanjal.com/college/einstein-academy-higher-secondary-school-and-college,Private,https://www.facebook.com/einstein.academy,,,,
Princeton Higher Secondary School,HSEB,"977-1-4107564, 4107604",info@princeton.edu.np,http://www.princeton.edu.np/,Shantinagar       ,Kathmandu,Bagmati," Princeton Higher Secondary School Shantinagar, New Baneshwar, Kathmandu-34","Ten Plus Two Humanities,Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/princeton-higher-secondary-school,Private,,,,,
Uniglobe Higher Secondary School,HSEB,977-1-4220722|4251409|4221875,info@uniglobecollege.edu.np,http://uniglobecollege.edu.np/,"Kamaladi, Ganeshthan       ",Kathmandu,Bagmati,"Kamaladi, Ganeshthan  Kathmandu   Bagmati","Ten Plus Two Science,Ten Plus Two Management",http://edusanjal.com/college/uniglobe-higher-secondary-school,Private,http://www.facebook.com/UniglobeHSSCollege,,https://twitter.com/UniglobeHSS/,https://www.youtube.com/c/uniglobehsscollege,
GoldenGate International College,HSEB,"977-1-4477082, 4495165",info@goldengate.edu.np,,"Old Baneshwor, Battisputali       ",Kathmandu,Bagmati," Golden Gate International College Wisdom Tower, Trikuti Colony, Battisputali Old Baneshwor, Kathmandu","Ten Plus Two Humanities ; 40;,Ten Plus Two Science ; 800;,Ten Plus Two Management ; 500;",http://edusanjal.com/college/golden-gate-international-college,Private,,,,,
College of Applied Business (CAB),HSEB,"977-1-4462736, 9860041587",info@cab.edu.np,http://www.cab.edu.np/,"Gangahity, Dhobikhola       ",Kathmandu,Bagmati,"College of Applied Business Gangahity, Dhobikhola",Ten Plus Two Management,http://edusanjal.com/college/college-applied-business,Private,https://www.facebook.com/collegeofappliedbusiness/,,,,
KMC National Higher Secondary School,HSEB,"977-01-5201331,5201334",,http://www.nationalcampus.edu.np/,Balkumari       ,Lalitpur,Bagmati,Balkumari  Lalitpur   Bagmati,"Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities",http://edusanjal.com/college/national-higher-secondary-school,Private,,,,,
Global College of Management,HSEB,"977-1-4488312, 4475254",info@proed.edu.np,http://globalcollege.edu.np/gcm/,Mid-Baneshwor       ,Kathmandu,Bagmati," Global College of Management (Under Pro-Ed. Limited) Mid- Baneshwor, Kathmandu PO Box:24855",Ten Plus Two Management ; 600;,http://edusanjal.com/college/global-college-management,Private,,,,,
Plan Academy Higher Secondary School,HSEB,"977-1-5528419, 5537695,",,,"Kumaripati,         ",Lalitpur,Bagmati,"Proposed Name: Plan Academy Higher Secondary School Kumaripati, Lalitpur","Ten Plus Two Humanities,Ten Plus Two Management",http://edusanjal.com/college/plan-academy-higher-secondary-school,Private,,,,,
The Chandbagh Higher Secondary School,HSEB,"01-4371229, 4371229",principal@chandbagh.edu.np,http://chandbagh.edu.np/,Bansbari       ,Kathmandu,Bagmati,Bansbari  Kathmandu   Bagmati,Ten Plus Two Management,http://edusanjal.com/college/chandbagh-higher-secondary-school,Private,,,,,
"Everest College, Thapathali",HSEB,"977-1-4231460, 4266652, 4229653",info@everestcollege.edu.np,http://everestcollege.edu.np/,Thapathali       ,Kathmandu,Bagmati,Thapathali  Kathmandu   Bagmati,Ten Plus Two Management,http://edusanjal.com/college/everest-college-thapathali,Private,,,,,
Columbus Higher Secondary School,HSEB,"977-1-4781747, 4784883",college@columbus.edu.np,http://www.columbus.edu.np/,New Baneshwor       ,Kathmandu,Bagmati," Columbus Higher Secondary School and College P.O Box: 23728, Shankhamul Marg New Baneshwor, Kathmandu, Nepal","Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/columbus-higher-secondary-school,Private,,,,,
Premier Higher Secondary School,HSEB,"977-1-4107138, 410 7198",info@premiercollege.edu.np,http://www.premiercollege.edu.np/,New Baneshwor       ,Kathmandu,Bagmati,New Baneshwor  Kathmandu   Bagmati,"Ten Plus Two Humanities ; 20;,Ten Plus Two Management ; 240;,Ten Plus Two Science ; 160;",http://edusanjal.com/college/premier-higher-secondary-school,Private,,,,,
K and K International College,HSEB,"977-1-4474557, 4497515",info@kandk.edu.np,http://www.kandk.edu.np/,"New Baneshwor (Infront of BICC, West Gate-2)       ",Kathmandu,Bagmati,"New Baneshwor (Infront of BICC, West Gate-2)  Kathmandu   Bagmati","Ten Plus Two Management,Ten Plus Two Humanities",http://edusanjal.com/college/k-and-k-international-college,Private,,,,,
Sahid Ramnath Dahal Smriti Higher Secondary School,HSEB,"977-014360969, 4361486",,,"Balaju Chowk, Opposite to Balaju Bhatbhateni Supermarket        ",Kathmandu,Bagmati,"Balaju Chowk, Opposite to Balaju Bhatbhateni Supermarket   Kathmandu   Bagmati","Ten Plus Two Management,Ten Plus Two Humanities,Ten Plus Two Education",http://edusanjal.com/college/sahid-ramnath-dahal-smriti-higher-secondary-school,Private,,,,,
​Campion Academy,HSEB,"977-1-5535131, 5537959",principal.ca@cgeducation.com.np,http://cgeducation.com.np/campion_academy.php,Lagankhel (Next to Patan Hospital)       ,Lalitpur,Bagmati,Lagankhel (Next to Patan Hospital)  Lalitpur   Bagmati,"Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities",http://edusanjal.com/college/campion-academy,Private,,,,,
Bagmati College,HSEB,"977-1-4374881, 4374887, 4372218",info@bmcollege.edu.np,http://www.bmcollege.edu.np/,Sukedhara       ,Kathmandu,Bagmati," Bagmati Modern College Sukedhara, New Colony Kathmandu, Nepal","Ten Plus Two Management,Ten Plus Two Science,Ten Plus Two Humanities",http://edusanjal.com/college/bagmati-college,Private,,,,,
Canvas international college,HSEB,"977-1-4380304, 4354280",info@canvascollege.edu.np,http://www.canvascollege.edu.np/,Basundhara       ,Kathmandu,Bagmati," Canvas International College Basundhara, Maharajgunj Kathmandu","Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities",http://edusanjal.com/college/canvas-international-college,Private,,,,,
