School_name,District_name,Location,VDC/Municipality_name,Ward No.,Total Sutdents: 2070
Adarsha Ni Ma Vi,ACHHAM,Kuskot,Kuskot,2,187
Adarsha Pra V,ACHHAM,Badchauki,Timilsain,4,82
Alaknanda Ma Vi,ACHHAM,Tinilsain,Timilsain,5,460
Ambika Pra V,ACHHAM,Pulletala,Pulletola,8,143
Ambika Ma V,ACHHAM,Nanakhal Salyan Danda,Kalikasthan,3,351
Annapurna Uchha Ma V,ACHHAM,Kalagaun,Kalagau,3,842
Arunodaya Pra V,ACHHAM,Kalikasthan,Janalikot,6,110
Asrya Ma V,ACHHAM,Kotbada,Darna,4,496
Asta Siddhi Ma V,ACHHAM,Dhungachalna,Dhungachalna,5,502
Badhimalika Pra V,ACHHAM,Tamkot,Kalekanda,9,67
Bageswori Ni Ma V,ACHHAM,Furkesalla,Muli,9,225
Bageshwori Pra V,ACHHAM,Madugada,Tosi,3,157
Bageshwori Pra V,ACHHAM,Dhamali,Dhamali,2,99
Bageswori Ni Ma Vi,ACHHAM,Laachi,Ghodasen,4,235
Bageshwori Pr Vi,ACHHAM,Baretileka,Baradadivi,6,176
Baguda Pra V,ACHHAM,Baguda,Thanti,1,119
Baidyanath Bed Bidyashram Ni Ma V,ACHHAM,Baiddaynath,Baijinath,2,26
Baijanath Uchha Ma V,ACHHAM,Hadakot,Payal,5,612
Baikuntheshwari Pra V,ACHHAM,Thantikhand,Dhamali,6,215
Bal Bikash Pra V,ACHHAM,Nagatola,Mangalsen,8,82
Bal Bikash Pra V,ACHHAM,Thadagada,Kalagau,6,135
Bal Bikash Pra V,ACHHAM,Kalagau,Kalagau,5,106
Bal Bikash Pra V,ACHHAM,Jabla,Binadhyawasini,5,125
Bal Jyoti Pra V,ACHHAM,Chaphamandu,Chaphamandau,9,40
Bal Kalyan Pra V,ACHHAM,Santada,Santada,8,75
Bal Kalyan Pra V,ACHHAM,Kandakot,Darna,6,253
Bal Kalyan Pra V,ACHHAM,Thadagada,Chaphamandau,3,77
Balmandir Pra V,ACHHAM,Mangalsen,Mangalsen,5,43
Balbatika Pra Vi,ACHHAM,Kalagaun,Kalagau,5,68
Balkalyan P S,ACHHAM,Bhatakatia,Bhatakatiya,6,129
Balkalyan Pra V,ACHHAM,Bhairabsthan,Bhairabsthan,9,158
Balodaya Pra V,ACHHAM,Shodashadevi,Shodasadevi,2,300
Balpargatishil Pra V,ACHHAM,Dhungachalna,Dhungachalna,4,134
Baluthan Pra V,ACHHAM,Thalpata,Bhairabsthan,3,227
Bandali Pra V,ACHHAM,Pastoli,Dhaku,1,101
Bandali Ni Ma V,ACHHAM,Tali,Malatikot,8,257
Bandali P V,ACHHAM,Toshi,Tosi,6,51
Bandevi Ba Bi Ke,ACHHAM,Rahaph,Rahaph,6,234
Janajyoti Ni Ma V,ACHHAM,Rahaph,Rahaph,3,272
Barada Devi Pra V,ACHHAM,Ratimata,Rahaph,3,95
Barchahil E B S,ACHHAM,Mastamandu,Mastamandau,1,227
Bardadevi E B S,ACHHAM,Bardadevi,Mastamandau,7,84
Bardadevi P S,ACHHAM,Timilsen,Timilsain,3,113
Barmasthan Pra Vi,ACHHAM,Psela,Santada,2,118
Basuki Ma Vi,ACHHAM,Nagamandu,Kuskot,2,336
Basundhara U Ma V,ACHHAM,Thalpata,Bhairabsthan,2,563
Bedu Khet Pra V,ACHHAM,Gajara,Bhairabsthan,1,63
Betalmandu Uchha Ma V,ACHHAM,Betaljhad,Ghughurkot,4,389
Betalmandu Pra V,ACHHAM,Hattikote,Hatikot,8,116
Bhagawati Pra V,ACHHAM,Ola,Babala,4,39
